item_no,week,sold
04002032,6,60
04002032,7,75
04002032,8,0
04002032,9,0
04002032,10,0
04002032,11,0
04002032,12,0
04002032,13,0
04002032,14,0
04002032,15,0
04002032,16,0
04002032,17,0
04002032,18,0
04002032,19,0
04002032,20,0
04002032,21,0
04002032,22,0
04002032,23,0
04002032,24,80
04002032,25,0
04002032,26,0
04002032,27,0
04002032,28,0
04002032,29,0
04002032,30,0
04002032,31,0
04002032,32,0
04002032,33,0
04002032,34,0
04002032,35,0
04002032,36,0
04002032,37,0
04002032,38,0
04002032,39,0
04002032,40,0
04002032,41,0
04002032,42,0
04002032,43,0
04002032,44,0
04002032,45,0
04002032,46,0
04002032,47,0
04002032,48,0
04002032,49,0
04002032,50,0
04002032,51,218
04002032,52,0
04002032,53,0
04120002,0,0
04120002,1,0
04120002,2,0
04120002,3,0
04120002,4,0
04120002,5,0
04120002,6,0
04120002,7,0
04120002,8,0
04120002,9,0
04120002,10,0
04120002,11,0
04120002,12,0
04120002,13,0
04120002,14,0
04120002,15,0
04120002,16,0
04120002,17,0
04120002,18,0
04120002,19,0
04120002,20,40
04120002,21,10
04120002,22,0
04120002,23,0
04120002,24,278
04120002,25,0
04120002,26,0
04120002,27,0
04120002,28,288
04120002,29,120
04120002,30,0
04120002,31,0
04120002,32,0
04120002,33,0
04120002,34,0
04120002,35,0
04120002,36,0
04120002,37,0
04120002,38,0
04120002,39,0
04120002,40,0
04120002,41,0
04120002,42,0
04120002,43,0
04120002,44,0
04120002,45,0
04120002,46,0
04120002,47,0
04120002,48,0
04120002,49,0
04120002,50,0
04120002,51,0
04120002,52,0
04120002,53,0
0822203,0,0
0822203,1,0
0822203,2,0
0822203,3,100
0822203,4,0
0822203,5,0
0822203,6,0
0822203,7,0
0822203,8,0
0822203,9,0
0822203,10,0
0822203,11,0
0822203,12,0
0822203,13,0
0822203,14,0
0822203,15,0
0822203,16,0
0822203,17,0
0822203,18,0
0822203,19,0
0822203,20,0
0822203,21,0
0822203,22,0
0822203,23,0
0822203,24,0
0822203,25,400
0822203,26,0
0822203,27,0
0822203,28,0
0822203,29,0
0822203,30,0
0822203,31,0
0822203,32,0
0822203,33,0
0822203,34,0
0822203,35,300
0822203,36,0
0822203,37,0
0822203,38,0
0822203,39,100
0822203,40,300
0822203,41,0
0822203,42,0
0822203,43,0
0822203,44,0
0822203,45,0
0822203,46,0
0822203,47,0
0822203,48,0
0822203,49,100
0822203,50,0
0822203,51,0
0822203,52,0
0822203,53,0
10055.011010,0,123
10055.011010,1,120
10055.011010,2,36
10055.011010,3,48
10055.011010,4,36
10055.011010,5,600
10055.011010,6,84
10055.011010,7,0
10055.011010,8,84
10055.011010,9,45
10055.011010,10,99
10055.011010,11,96
10055.011010,12,0
10055.011010,13,36
10055.011010,14,48
10055.011010,15,24
10055.011010,16,4
10055.011010,17,96
10055.011010,18,108
10055.011010,19,24
10055.011010,20,60
10055.011010,21,36
10055.011010,22,24
10055.011010,23,0
10055.011010,24,0
10055.011010,25,60
10055.011010,26,0
10055.011010,27,0
10055.011010,28,48
10055.011010,29,12
10055.011010,30,0
10055.011010,31,60
10055.011010,32,120
10055.011010,33,0
10055.011010,34,48
10055.011010,35,60
10055.011010,36,72
10055.011010,37,0
10055.011010,38,36
10055.011010,39,12
10055.011010,40,48
10055.011010,41,60
10055.011010,42,0
10055.011010,43,0
10055.011010,44,0
10055.011010,45,48
10055.011010,46,0
10055.011010,47,0
10055.011010,48,0
10055.011010,49,36
10055.011010,50,0
10055.011010,51,0
10055.011010,52,0
10055.011010,53,0
10055.011020,0,60
10055.011020,1,0
10055.011020,2,24
10055.011020,3,0
10055.011020,4,0
10055.011020,5,60
10055.011020,6,60
10055.011020,7,0
10055.011020,8,0
10055.011020,9,0
10055.011020,10,72
10055.011020,11,0
10055.011020,12,0
10055.011020,13,72
10055.011020,14,48
10055.011020,15,0
10055.011020,16,264
10055.011020,17,24
10055.011020,18,0
10055.011020,19,0
10055.011020,20,84
10055.011020,21,0
10055.011020,22,0
10055.011020,23,0
10055.011020,24,0
10055.011020,25,24
10055.011020,26,48
10055.011020,27,0
10055.011020,28,0
10055.011020,29,96
10055.011020,30,0
10055.011020,31,0
10055.011020,32,0
10055.011020,33,0
10055.011020,34,180
10055.011020,35,0
10055.011020,36,48
10055.011020,37,0
10055.011020,38,0
10055.011020,39,0
10055.011020,40,0
10055.011020,41,0
10055.011020,42,0
10055.011020,43,0
10055.011020,44,0
10055.011020,45,0
10055.011020,46,0
10055.011020,47,0
10055.011020,48,0
10055.011020,49,0
10055.011020,50,0
10055.011020,51,360
10055.011020,52,0
10055.011020,53,0
10055.011212,0,60
10055.011212,1,0
10055.011212,2,0
10055.011212,3,12
10055.011212,4,0
10055.011212,5,0
10055.011212,6,0
10055.011212,7,0
10055.011212,8,12
10055.011212,9,56
10055.011212,10,0
10055.011212,11,0
10055.011212,12,40
10055.011212,13,0
10055.011212,14,0
10055.011212,15,0
10055.011212,16,0
10055.011212,17,60
10055.011212,18,0
10055.011212,19,24
10055.011212,20,0
10055.011212,21,0
10055.011212,22,132
10055.011212,23,84
10055.011212,24,12
10055.011212,25,84
10055.011212,26,0
10055.011212,27,0
10055.011212,28,27
10055.011212,29,12
10055.011212,30,0
10055.011212,31,0
10055.011212,32,0
10055.011212,33,0
10055.011212,34,0
10055.011212,35,0
10055.011212,36,0
10055.011212,37,0
10055.011212,38,0
10055.011212,39,0
10055.011212,40,0
10055.011212,41,0
10055.011212,42,0
10055.011212,43,0
10055.011212,44,0
10055.011212,45,30
10055.011212,46,0
10055.011212,47,0
10055.011212,48,0
10055.011212,49,0
10055.011212,50,0
10055.011212,51,408
10055.011212,52,0
10055.011212,53,0
10055.011220,0,24
10055.011220,1,1
10055.011220,2,0
10055.011220,3,0
10055.011220,4,72
10055.011220,5,12
10055.011220,6,0
10055.011220,7,0
10055.011220,8,0
10055.011220,9,1
10055.011220,10,0
10055.011220,11,0
10055.011220,12,24
10055.011220,13,12
10055.011220,14,12
10055.011220,15,0
10055.011220,16,240
10055.011220,17,31
10055.011220,18,0
10055.011220,19,0
10055.011220,20,0
10055.011220,21,0
10055.011220,22,0
10055.011220,23,0
10055.011220,24,0
10055.011220,25,24
10055.011220,26,0
10055.011220,27,7
10055.011220,28,0
10055.011220,29,0
10055.011220,30,0
10055.011220,31,0
10055.011220,32,0
10055.011220,33,0
10055.011220,34,0
10055.011220,35,0
10055.011220,36,36
10055.011220,37,0
10055.011220,38,0
10055.011220,39,0
10055.011220,40,0
10055.011220,41,0
10055.011220,42,0
10055.011220,43,0
10055.011220,44,0
10055.011220,45,0
10055.011220,46,0
10055.011220,47,0
10055.011220,48,0
10055.011220,49,0
10055.011220,50,12
10055.011220,51,240
10055.011220,52,0
10055.011220,53,0
10055.011224,0,0
10055.011224,1,0
10055.011224,2,0
10055.011224,3,13
10055.011224,4,0
10055.011224,5,0
10055.011224,6,0
10055.011224,7,0
10055.011224,8,0
10055.011224,9,0
10055.011224,10,0
10055.011224,11,0
10055.011224,12,360
10055.011224,13,24
10055.011224,14,48
10055.011224,15,0
10055.011224,16,0
10055.011224,17,11
10055.011224,18,0
10055.011224,19,7
10055.011224,20,0
10055.011224,21,0
10055.011224,22,0
10055.011224,23,0
10055.011224,24,0
10055.011224,25,0
10055.011224,26,0
10055.011224,27,5
10055.011224,28,0
10055.011224,29,13
10055.011224,30,0
10055.011224,31,0
10055.011224,32,0
10055.011224,33,0
10055.011224,34,180
10055.011224,35,0
10055.011224,36,36
10055.011224,37,0
10055.011224,38,0
10055.011224,39,0
10055.011224,40,0
10055.011224,41,0
10055.011224,42,0
10055.011224,43,0
10055.011224,44,0
10055.011224,45,0
10055.011224,46,0
10055.011224,47,0
10055.011224,48,0
10055.011224,49,0
10055.011224,50,0
10055.011224,51,0
10055.011224,52,0
10055.011224,53,0
10055.011420,0,0
10055.011420,1,72
10055.011420,2,36
10055.011420,3,96
10055.011420,4,0
10055.011420,5,96
10055.011420,6,0
10055.011420,7,0
10055.011420,8,192
10055.011420,9,0
10055.011420,10,168
10055.011420,11,0
10055.011420,12,0
10055.011420,13,0
10055.011420,14,12
10055.011420,15,0
10055.011420,16,0
10055.011420,17,490
10055.011420,18,24
10055.011420,19,0
10055.011420,20,0
10055.011420,21,0
10055.011420,22,0
10055.011420,23,0
10055.011420,24,0
10055.011420,25,36
10055.011420,26,0
10055.011420,27,10
10055.011420,28,0
10055.011420,29,24
10055.011420,30,0
10055.011420,31,0
10055.011420,32,0
10055.011420,33,0
10055.011420,34,0
10055.011420,35,600
10055.011420,36,36
10055.011420,37,0
10055.011420,38,0
10055.011420,39,0
10055.011420,40,0
10055.011420,41,0
10055.011420,42,0
10055.011420,43,0
10055.011420,44,0
10055.011420,45,0
10055.011420,46,0
10055.011420,47,0
10055.011420,48,0
10055.011420,49,0
10055.011420,50,0
10055.011420,51,480
10055.011420,52,0
10055.011420,53,0
10055.011425,0,0
10055.011425,1,0
10055.011425,2,24
10055.011425,3,12
10055.011425,4,0
10055.011425,5,12
10055.011425,6,0
10055.011425,7,12
10055.011425,8,24
10055.011425,9,0
10055.011425,10,0
10055.011425,11,12
10055.011425,12,240
10055.011425,13,0
10055.011425,14,0
10055.011425,15,0
10055.011425,16,0
10055.011425,17,59
10055.011425,18,0
10055.011425,19,0
10055.011425,20,0
10055.011425,21,0
10055.011425,22,0
10055.011425,23,0
10055.011425,24,0
10055.011425,25,0
10055.011425,26,0
10055.011425,27,59
10055.011425,28,0
10055.011425,29,0
10055.011425,30,0
10055.011425,31,0
10055.011425,32,0
10055.011425,33,0
10055.011425,34,0
10055.011425,35,600
10055.011425,36,0
10055.011425,37,0
10055.011425,38,0
10055.011425,39,0
10055.011425,40,0
10055.011425,41,0
10055.011425,42,360
10055.011425,43,0
10055.011425,44,0
10055.011425,45,0
10055.011425,46,0
10055.011425,47,0
10055.011425,48,0
10055.011425,49,0
10055.011425,50,0
10055.011425,51,0
10055.011425,52,0
10055.011425,53,0
10055.011616,0,0
10055.011616,1,0
10055.011616,2,0
10055.011616,3,12
10055.011616,4,0
10055.011616,5,0
10055.011616,6,0
10055.011616,7,0
10055.011616,8,0
10055.011616,9,0
10055.011616,10,0
10055.011616,11,0
10055.011616,12,0
10055.011616,13,24
10055.011616,14,36
10055.011616,15,0
10055.011616,16,120
10055.011616,17,156
10055.011616,18,48
10055.011616,19,12
10055.011616,20,0
10055.011616,21,0
10055.011616,22,13
10055.011616,23,0
10055.011616,24,0
10055.011616,25,0
10055.011616,26,0
10055.011616,27,0
10055.011616,28,0
10055.011616,29,68
10055.011616,30,0
10055.011616,31,0
10055.011616,32,0
10055.011616,33,0
10055.011616,34,0
10055.011616,35,0
10055.011616,36,24
10055.011616,37,0
10055.011616,38,0
10055.011616,39,0
10055.011616,40,0
10055.011616,41,0
10055.011616,42,0
10055.011616,43,0
10055.011616,44,180
10055.011616,45,0
10055.011616,46,0
10055.011616,47,0
10055.011616,48,0
10055.011616,49,0
10055.011616,50,0
10055.011616,51,0
10055.011616,52,0
10055.011616,53,0
10055.011620,0,48
10055.011620,1,324
10055.011620,2,12
10055.011620,3,60
10055.011620,4,132
10055.011620,5,36
10055.011620,6,120
10055.011620,7,20
10055.011620,8,36
10055.011620,9,126
10055.011620,10,24
10055.011620,11,78
10055.011620,12,549
10055.011620,13,156
10055.011620,14,48
10055.011620,15,0
10055.011620,16,84
10055.011620,17,428
10055.011620,18,204
10055.011620,19,36
10055.011620,20,48
10055.011620,21,12
10055.011620,22,24
10055.011620,23,48
10055.011620,24,60
10055.011620,25,12
10055.011620,26,56
10055.011620,27,20
10055.011620,28,0
10055.011620,29,36
10055.011620,30,0
10055.011620,31,70
10055.011620,32,0
10055.011620,33,0
10055.011620,34,0
10055.011620,35,600
10055.011620,36,48
10055.011620,37,24
10055.011620,38,0
10055.011620,39,12
10055.011620,40,0
10055.011620,41,0
10055.011620,42,600
10055.011620,43,0
10055.011620,44,0
10055.011620,45,0
10055.011620,46,12
10055.011620,47,0
10055.011620,48,0
10055.011620,49,0
10055.011620,50,0
10055.011620,51,600
10055.011620,52,0
10055.011620,53,0
10055.011624,0,0
10055.011624,1,0
10055.011624,2,0
10055.011624,3,0
10055.011624,4,0
10055.011624,5,60
10055.011624,6,0
10055.011624,7,0
10055.011624,8,12
10055.011624,9,0
10055.011624,10,0
10055.011624,11,0
10055.011624,12,0
10055.011624,13,0
10055.011624,14,0
10055.011624,15,0
10055.011624,16,0
10055.011624,17,4
10055.011624,18,0
10055.011624,19,0
10055.011624,20,0
10055.011624,21,12
10055.011624,22,0
10055.011624,23,0
10055.011624,24,0
10055.011624,25,0
10055.011624,26,0
10055.011624,27,4
10055.011624,28,0
10055.011624,29,0
10055.011624,30,0
10055.011624,31,0
10055.011624,32,0
10055.011624,33,0
10055.011624,34,0
10055.011624,35,180
10055.011624,36,0
10055.011624,37,0
10055.011624,38,0
10055.011624,39,0
10055.011624,40,0
10055.011624,41,0
10055.011624,42,180
10055.011624,43,0
10055.011624,44,0
10055.011624,45,0
10055.011624,46,0
10055.011624,47,0
10055.011624,48,0
10055.011624,49,0
10055.011624,50,0
10055.011624,51,240
10055.011624,52,0
10055.011624,53,0
10055.011625,0,24
10055.011625,1,24
10055.011625,2,60
10055.011625,3,1
10055.011625,4,0
10055.011625,5,51
10055.011625,6,0
10055.011625,7,228
10055.011625,8,0
10055.011625,9,72
10055.011625,10,205
10055.011625,11,12
10055.011625,12,240
10055.011625,13,48
10055.011625,14,60
10055.011625,15,0
10055.011625,16,420
10055.011625,17,18
10055.011625,18,84
10055.011625,19,12
10055.011625,20,0
10055.011625,21,0
10055.011625,22,36
10055.011625,23,24
10055.011625,24,0
10055.011625,25,0
10055.011625,26,0
10055.011625,27,18
10055.011625,28,84
10055.011625,29,60
10055.011625,30,30
10055.011625,31,0
10055.011625,32,0
10055.011625,33,0
10055.011625,34,30
10055.011625,35,720
10055.011625,36,36
10055.011625,37,0
10055.011625,38,0
10055.011625,39,0
10055.011625,40,0
10055.011625,41,0
10055.011625,42,720
10055.011625,43,72
10055.011625,44,0
10055.011625,45,6
10055.011625,46,0
10055.011625,47,0
10055.011625,48,0
10055.011625,49,0
10055.011625,50,0
10055.011625,51,600
10055.011625,52,0
10055.011625,53,0
10055.011820,0,72
10055.011820,1,0
10055.011820,2,0
10055.011820,3,24
10055.011820,4,0
10055.011820,5,24
10055.011820,6,0
10055.011820,7,0
10055.011820,8,60
10055.011820,9,0
10055.011820,10,48
10055.011820,11,0
10055.011820,12,240
10055.011820,13,0
10055.011820,14,0
10055.011820,15,0
10055.011820,16,0
10055.011820,17,0
10055.011820,18,0
10055.011820,19,0
10055.011820,20,0
10055.011820,21,0
10055.011820,22,0
10055.011820,23,0
10055.011820,24,0
10055.011820,25,0
10055.011820,26,0
10055.011820,27,0
10055.011820,28,0
10055.011820,29,0
10055.011820,30,0
10055.011820,31,0
10055.011820,32,0
10055.011820,33,0
10055.011820,34,0
10055.011820,35,0
10055.011820,36,0
10055.011820,37,0
10055.011820,38,0
10055.011820,39,0
10055.011820,40,0
10055.011820,41,0
10055.011820,42,120
10055.011820,43,0
10055.011820,44,0
10055.011820,45,0
10055.011820,46,0
10055.011820,47,0
10055.011820,48,0
10055.011820,49,0
10055.011820,50,0
10055.011820,51,0
10055.011820,52,0
10055.011820,53,0
10055.012020,0,36
10055.012020,1,24
10055.012020,2,62
10055.012020,3,96
10055.012020,4,0
10055.012020,5,168
10055.012020,6,0
10055.012020,7,10
10055.012020,8,194
10055.012020,9,0
10055.012020,10,72
10055.012020,11,70
10055.012020,12,0
10055.012020,13,108
10055.012020,14,84
10055.012020,15,0
10055.012020,16,408
10055.012020,17,60
10055.012020,18,12
10055.012020,19,0
10055.012020,20,0
10055.012020,21,0
10055.012020,22,36
10055.012020,23,24
10055.012020,24,0
10055.012020,25,132
10055.012020,26,24
10055.012020,27,0
10055.012020,28,24
10055.012020,29,120
10055.012020,30,72
10055.012020,31,0
10055.012020,32,48
10055.012020,33,0
10055.012020,34,24
10055.012020,35,672
10055.012020,36,24
10055.012020,37,132
10055.012020,38,0
10055.012020,39,0
10055.012020,40,24
10055.012020,41,0
10055.012020,42,600
10055.012020,43,84
10055.012020,44,0
10055.012020,45,0
10055.012020,46,24
10055.012020,47,144
10055.012020,48,0
10055.012020,49,0
10055.012020,50,0
10055.012020,51,480
10055.012020,52,0
10055.012020,53,96
10055.012025,0,5
10055.012025,1,119
10055.012025,2,37
10055.012025,3,17
10055.012025,4,0
10055.012025,5,168
10055.012025,6,0
10055.012025,7,48
10055.012025,8,97
10055.012025,9,0
10055.012025,10,4
10055.012025,11,0
10055.012025,12,180
10055.012025,13,48
10055.012025,14,84
10055.012025,15,24
10055.012025,16,24
10055.012025,17,48
10055.012025,18,24
10055.012025,19,36
10055.012025,20,48
10055.012025,21,16
10055.012025,22,0
10055.012025,23,0
10055.012025,24,0
10055.012025,25,96
10055.012025,26,132
10055.012025,27,0
10055.012025,28,0
10055.012025,29,60
10055.012025,30,0
10055.012025,31,0
10055.012025,32,24
10055.012025,33,0
10055.012025,34,24
10055.012025,35,24
10055.012025,36,624
10055.012025,37,0
10055.012025,38,0
10055.012025,39,0
10055.012025,40,12
10055.012025,41,0
10055.012025,42,552
10055.012025,43,0
10055.012025,44,48
10055.012025,45,72
10055.012025,46,24
10055.012025,47,0
10055.012025,48,0
10055.012025,49,0
10055.012025,50,0
10055.012025,51,480
10055.012025,52,0
10055.012025,53,0
10055.012424,0,0
10055.012424,1,0
10055.012424,2,216
10055.012424,3,0
10055.012424,4,0
10055.012424,5,96
10055.012424,6,0
10055.012424,7,0
10055.012424,8,96
10055.012424,9,12
10055.012424,10,12
10055.012424,11,0
10055.012424,12,1
10055.012424,13,12
10055.012424,14,48
10055.012424,15,0
10055.012424,16,12
10055.012424,17,48
10055.012424,18,0
10055.012424,19,0
10055.012424,20,12
10055.012424,21,60
10055.012424,22,24
10055.012424,23,0
10055.012424,24,288
10055.012424,25,12
10055.012424,26,0
10055.012424,27,24
10055.012424,28,0
10055.012424,29,24
10055.012424,30,24
10055.012424,31,24
10055.012424,32,0
10055.012424,33,0
10055.012424,34,0
10055.012424,35,180
10055.012424,36,24
10055.012424,37,0
10055.012424,38,0
10055.012424,39,0
10055.012424,40,0
10055.012424,41,24
10055.012424,42,0
10055.012424,43,0
10055.012424,44,0
10055.012424,45,0
10055.012424,46,0
10055.012424,47,0
10055.012424,48,0
10055.012424,49,0
10055.012424,50,0
10055.012424,51,0
10055.012424,52,0
10055.012424,53,0
10055.012525,0,0
10055.012525,1,52
10055.012525,2,12
10055.012525,3,0
10055.012525,4,72
10055.012525,5,12
10055.012525,6,0
10055.012525,7,0
10055.012525,8,0
10055.012525,9,0
10055.012525,10,0
10055.012525,11,8
10055.012525,12,4
10055.012525,13,0
10055.012525,14,76
10055.012525,15,0
10055.012525,16,0
10055.012525,17,132
10055.012525,18,0
10055.012525,19,0
10055.012525,20,0
10055.012525,21,0
10055.012525,22,204
10055.012525,23,0
10055.012525,24,0
10055.012525,25,0
10055.012525,26,0
10055.012525,27,0
10055.012525,28,0
10055.012525,29,0
10055.012525,30,0
10055.012525,31,0
10055.012525,32,0
10055.012525,33,60
10055.012525,34,0
10055.012525,35,0
10055.012525,36,0
10055.012525,37,0
10055.012525,38,0
10055.012525,39,0
10055.012525,40,0
10055.012525,41,0
10055.012525,42,0
10055.012525,43,0
10055.012525,44,0
10055.012525,45,0
10055.012525,46,0
10055.012525,47,0
10055.012525,48,0
10055.012525,49,0
10055.012525,50,0
10055.012525,51,0
10055.012525,52,0
10055.012525,53,0
10055.021620,0,15
10055.021620,1,24
10055.021620,2,72
10055.021620,3,99
10055.021620,4,60
10055.021620,5,104
10055.021620,6,24
10055.021620,7,37
10055.021620,8,0
10055.021620,9,0
10055.021620,10,15
10055.021620,11,0
10055.021620,12,180
10055.021620,13,0
10055.021620,14,60
10055.021620,15,0
10055.021620,16,0
10055.021620,17,0
10055.021620,18,0
10055.021620,19,72
10055.021620,20,0
10055.021620,21,36
10055.021620,22,24
10055.021620,23,0
10055.021620,24,0
10055.021620,25,0
10055.021620,26,0
10055.021620,27,0
10055.021620,28,0
10055.021620,29,60
10055.021620,30,0
10055.021620,31,0
10055.021620,32,0
10055.021620,33,120
10055.021620,34,0
10055.021620,35,480
10055.021620,36,0
10055.021620,37,0
10055.021620,38,0
10055.021620,39,0
10055.021620,40,0
10055.021620,41,0
10055.021620,42,360
10055.021620,43,0
10055.021620,44,0
10055.021620,45,72
10055.021620,46,0
10055.021620,47,0
10055.021620,48,0
10055.021620,49,0
10055.021620,50,0
10055.021620,51,0
10055.021620,52,0
10055.021620,53,0
10055.021625,0,163
10055.021625,1,60
10055.021625,2,36
10055.021625,3,200
10055.021625,4,17
10055.021625,5,192
10055.021625,6,0
10055.021625,7,0
10055.021625,8,120
10055.021625,9,0
10055.021625,10,20
10055.021625,11,72
10055.021625,12,312
10055.021625,13,108
10055.021625,14,16
10055.021625,15,0
10055.021625,16,120
10055.021625,17,168
10055.021625,18,0
10055.021625,19,48
10055.021625,20,60
10055.021625,21,72
10055.021625,22,48
10055.021625,23,12
10055.021625,24,120
10055.021625,25,0
10055.021625,26,12
10055.021625,27,0
10055.021625,28,0
10055.021625,29,120
10055.021625,30,0
10055.021625,31,0
10055.021625,32,96
10055.021625,33,0
10055.021625,34,0
10055.021625,35,360
10055.021625,36,0
10055.021625,37,0
10055.021625,38,0
10055.021625,39,0
10055.021625,40,0
10055.021625,41,0
10055.021625,42,360
10055.021625,43,0
10055.021625,44,0
10055.021625,45,0
10055.021625,46,0
10055.021625,47,0
10055.021625,48,0
10055.021625,49,0
10055.021625,50,48
10055.021625,51,0
10055.021625,52,0
10055.021625,53,0
10055.022020,0,70
10055.022020,1,48
10055.022020,2,12
10055.022020,3,64
10055.022020,4,48
10055.022020,5,76
10055.022020,6,36
10055.022020,7,92
10055.022020,8,0
10055.022020,9,432
10055.022020,10,28
10055.022020,11,0
10055.022020,12,48
10055.022020,13,0
10055.022020,14,60
10055.022020,15,84
10055.022020,16,24
10055.022020,17,48
10055.022020,18,0
10055.022020,19,36
10055.022020,20,60
10055.022020,21,88
10055.022020,22,48
10055.022020,23,0
10055.022020,24,144
10055.022020,25,0
10055.022020,26,48
10055.022020,27,432
10055.022020,28,0
10055.022020,29,0
10055.022020,30,0
10055.022020,31,0
10055.022020,32,0
10055.022020,33,0
10055.022020,34,0
10055.022020,35,360
10055.022020,36,0
10055.022020,37,0
10055.022020,38,0
10055.022020,39,0
10055.022020,40,0
10055.022020,41,0
10055.022020,42,360
10055.022020,43,36
10055.022020,44,0
10055.022020,45,0
10055.022020,46,0
10055.022020,47,0
10055.022020,48,0
10055.022020,49,0
10055.022020,50,0
10055.022020,51,0
10055.022020,52,0
10055.022020,53,0
10055.022024,0,0
10055.022024,1,0
10055.022024,2,0
10055.022024,3,0
10055.022024,4,12
10055.022024,5,0
10055.022024,6,0
10055.022024,7,0
10055.022024,8,24
10055.022024,9,0
10055.022024,10,0
10055.022024,11,0
10055.022024,12,180
10055.022024,13,0
10055.022024,14,0
10055.022024,15,0
10055.022024,16,0
10055.022024,17,0
10055.022024,18,0
10055.022024,19,0
10055.022024,20,0
10055.022024,21,0
10055.022024,22,0
10055.022024,23,0
10055.022024,24,0
10055.022024,25,0
10055.022024,26,0
10055.022024,27,0
10055.022024,28,0
10055.022024,29,0
10055.022024,30,0
10055.022024,31,0
10055.022024,32,0
10055.022024,33,0
10055.022024,34,0
10055.022024,35,180
10055.022024,36,0
10055.022024,37,0
10055.022024,38,0
10055.022024,39,0
10055.022024,40,0
10055.022024,41,0
10055.022024,42,180
10055.022024,43,0
10055.022024,44,0
10055.022024,45,0
10055.022024,46,0
10055.022024,47,0
10055.022024,48,0
10055.022024,49,0
10055.022024,50,0
10055.022024,51,0
10055.022024,52,0
10055.022024,53,0
10055.022025,0,48
10055.022025,1,0
10055.022025,2,36
10055.022025,3,68
10055.022025,4,0
